teacher_id,name,email,phone,department,designation,subject_expertise,primary_subjects,available_time_slots,preferred_campus,experience_years,qualification,specialization,max_hours_per_week,can_teach_lab,preferred_days,office_location,status,joining_date,assigned_batches,employee_id,salary_grade,research_interests,publications_count,training_completed
TCH1014,Veer Bir,tch1014@university.edu,+915183473829,Chemistry,Assistant Professor,"Chemistry, Physical Chemistry, Organic Chemistry","Chemistry, Physical Chemistry","08:00-14:30, 10:00-16:30",Campus-3,2,B.Tech + M.Tech,Physical Chemistry,24,True,"Wednesday, Thursday, Friday, Monday, Saturday, Tuesday","Campus-3, Block B",Active,2020-09-02,"A15, A16, A17",EMP1014,Grade-1,"Organic Chemistry, Chemistry",10,"Faculty Development Program, Teaching Methodology"
TCH1015,Urvashi Ray,tch1015@university.edu,+911165667010,Humanities,Assistant Professor,"English, Communication Skills, Technical Writing","English, Communication Skills","11:20-18:00, 10:00-16:30",Campus-3,18,Ph.D,English,22,True,"Tuesday, Monday, Friday, Wednesday, Thursday","Campus-3, Block D",Active,2019-02-09,"A16, A17, A18",EMP1015,Grade-2,"Technical Writing, English",1,"Faculty Development Program, Digital Pedagogy"
TCH1016,Ikbal Kothari,tch1016@university.edu,+913872624731,Humanities,Assistant Professor,"English, Communication Skills, Technical Writing","English, Communication Skills","10:00-16:30, 11:20-18:00",Campus-3,10,Ph.D,Technical Writing,23,True,"Tuesday, Wednesday, Thursday, Monday, Saturday, Friday","Campus-3, Block C",Active,2019-06-22,"A17, A18, A19",EMP1016,Grade-2,"English, Communication Skills",3,"Faculty Development Program, Teaching Methodology"
TCH1017,Chandresh Zachariah,tch1017@university.edu,+911326773602,Humanities,Assistant Professor,"English, Communication Skills, Technical Writing","English, Communication Skills","11:20-18:00, 10:00-16:30",Campus-3,6,M.Sc,English,19,True,"Wednesday, Tuesday, Thursday, Saturday, Friday, Monday","Campus-3, Block E",Active,2018-11-23,"A18, A19, A20",EMP1017,Grade-5,"Technical Writing, English",4,"Faculty Development Program, Research Methodology"
TCH1018,Alka Sha,tch1018@university.edu,06872343098,Humanities,Assistant Professor,"English, Communication Skills, Technical Writing","English, Communication Skills","08:00-14:30, 11:20-18:00",Campus-3,10,M.Sc,Technical Writing,19,True,"Tuesday, Wednesday, Thursday, Saturday, Monday, Friday","Campus-3, Block D",Active,2016-01-13,"A19, A20, A21",EMP1018,Grade-5,"English, Technical Writing",10,"Faculty Development Program, Teaching Methodology"
TCH1019,Dakshesh Bedi,tch1019@university.edu,7882081219,Humanities,Assistant Professor,"English, Communication Skills, Technical Writing","English, Communication Skills","08:00-14:30, 10:00-16:30, 11:20-18:00",Campus-3,19,M.Tech,English,18,True,"Friday, Monday, Wednesday, Thursday, Saturday","Campus-3, Block D",Active,2016-02-05,"A20, A21, A22",EMP1019,Grade-3,"English, Communication Skills",11,"Faculty Development Program, Teaching Methodology"
TCH1020,Netra Dar,tch1020@university.edu,3990916998,Electronics Engineering,Assistant Professor,"Basic Electronics, Digital Electronics, Analog Electronics","Basic Electronics, Digital Electronics","08:00-14:30, 11:20-18:00, 10:00-16:30",Campus-3,13,B.Tech + M.Tech,Analog Electronics,23,True,"Tuesday, Saturday, Friday, Thursday, Monday","Campus-3, Block B",Active,2018-05-01,"A21, A22, A23",EMP1020,Grade-6,"Digital Electronics, Basic Electronics",8,"Faculty Development Program, Teaching Methodology"
TCH1021,Samarth Murthy,tch1021@university.edu,+914624751079,Electronics Engineering,Assistant Professor,"Basic Electronics, Digital Electronics, Analog Electronics","Basic Electronics, Digital Electronics","10:00-16:30, 08:00-14:30",Campus-3,17,Ph.D,Basic Electronics,24,True,"Wednesday, Saturday, Tuesday, Monday, Friday, Thursday","Campus-3, Block D",Active,2024-06-20,"A22, A23, A24",EMP1021,Grade-6,"Digital Electronics, Basic Electronics",8,"Faculty Development Program, Research Methodology"
TCH1022,Ethan Yogi,tch1022@university.edu,+918425135427,Electronics Engineering,Assistant Professor,"Basic Electronics, Digital Electronics, Analog Electronics","Basic Electronics, Digital Electronics","11:20-18:00, 10:00-16:30, 08:00-14:30",Campus-3,5,M.Sc,Basic Electronics,22,True,"Monday, Saturday, Thursday, Tuesday, Wednesday, Friday","Campus-3, Block E",Active,2022-12-27,"A23, A24, A25",EMP1022,Grade-2,"Digital Electronics, Basic Electronics",8,"Faculty Development Program, Teaching Methodology"
TCH1023,Abhiram Mistry,tch1023@university.edu,1241182449,Electronics Engineering,Assistant Professor,"Basic Electronics, Digital Electronics, Analog Electronics","Basic Electronics, Digital Electronics","08:00-14:30, 11:20-18:00, 10:00-16:30",Campus-3,15,M.Tech,Analog Electronics,20,True,"Saturday, Monday, Wednesday, Thursday, Tuesday, Friday","Campus-3, Block C",Active,2017-05-19,"A24, A25, A26",EMP1023,Grade-7,"Analog Electronics, Digital Electronics",4,"Faculty Development Program, Teaching Methodology"
TCH1024,Samar Lalla,tch1024@university.edu,7401640052,Electronics Engineering,Assistant Professor,"Basic Electronics, Digital Electronics, Analog Electronics","Basic Electronics, Digital Electronics","11:20-18:00, 10:00-16:30, 08:00-14:30",Campus-3,21,M.Sc,Digital Electronics,22,True,"Wednesday, Saturday, Tuesday, Thursday, Friday","Campus-3, Block D",Active,2021-03-21,"A25, A26, A27",EMP1024,Grade-8,"Digital Electronics, Basic Electronics",15,"Faculty Development Program, Digital Pedagogy"
TCH1025,Neel Sathe,tch1025@university.edu,6801128059,Electronics Engineering,Assistant Professor,"Basic Electronics, Digital Electronics, Analog Electronics","Basic Electronics, Digital Electronics","11:20-18:00, 08:00-14:30",Campus-3,11,M.Sc,Basic Electronics,24,True,"Saturday, Wednesday, Tuesday, Monday, Friday","Campus-3, Block A",Active,2020-06-16,"A26, A27, A28",EMP1025,Grade-1,"Basic Electronics, Digital Electronics",2,"Faculty Development Program, Research Methodology"
TCH1026,Joshua Barman,tch1026@university.edu,05053315869,Electronics Engineering,Assistant Professor,"Basic Electronics, Digital Electronics, Analog Electronics","Basic Electronics, Digital Electronics","11:20-18:00, 08:00-14:30, 10:00-16:30",Campus-3,17,B.Tech + M.Tech,Basic Electronics,19,True,"Monday, Thursday, Tuesday, Saturday, Friday","Campus-3, Block A",Active,2022-03-25,"A27, A28, A29",EMP1026,Grade-4,"Basic Electronics, Digital Electronics",4,"Faculty Development Program, Research Methodology"
TCH1027,Nicholas Goel,tch1027@university.edu,00256342160,Electronics Engineering,Assistant Professor,"Basic Electronics, Digital Electronics, Analog Electronics","Basic Electronics, Digital Electronics","10:00-16:30, 11:20-18:00, 08:00-14:30",Campus-3,7,B.Tech + M.Tech,Digital Electronics,20,True,"Saturday, Wednesday, Thursday, Friday, Monday","Campus-3, Block C",Active,2023-03-19,"A28, A29, A30",EMP1027,Grade-8,"Basic Electronics, Digital Electronics",7,"Faculty Development Program, Research Methodology"
TCH1028,Ryan Sharma,tch1028@university.edu,04330365414,Mechanical Engineering,Assistant Professor,"Engineering Mechanics, Thermodynamics, Machine Design","Engineering Mechanics, Thermodynamics","10:00-16:30, 08:00-14:30, 11:20-18:00",Campus-8,6,Ph.D,Thermodynamics,23,True,"Saturday, Tuesday, Monday, Friday, Wednesday","Campus-8, Block C",Active,2018-08-24,"A29, A30, A31",EMP1028,Grade-8,"Thermodynamics, Engineering Mechanics",6,"Faculty Development Program, Research Methodology"
TCH1029,Garima Bala,tch1029@university.edu,+914294019655,Mechanical Engineering,Assistant Professor,"Engineering Mechanics, Thermodynamics, Machine Design","Engineering Mechanics, Thermodynamics","11:20-18:00, 08:00-14:30, 10:00-16:30",Campus-8,17,M.Tech,Thermodynamics,20,True,"Thursday, Friday, Tuesday, Saturday, Monday, Wednesday","Campus-8, Block D",Active,2019-05-31,"A30, A31, A32",EMP1029,Grade-8,"Engineering Mechanics, Thermodynamics",10,"Faculty Development Program, Digital Pedagogy"
TCH1030,Lekha Gupta,tch1030@university.edu,00608835615,Mechanical Engineering,Assistant Professor,"Engineering Mechanics, Thermodynamics, Machine Design","Engineering Mechanics, Thermodynamics","11:20-18:00, 08:00-14:30, 10:00-16:30",Campus-8,6,M.Tech,Thermodynamics,22,True,"Monday, Thursday, Tuesday, Friday, Saturday","Campus-8, Block A",Active,2021-02-03,"A31, A32, A33",EMP1030,Grade-5,"Thermodynamics, Machine Design",6,"Faculty Development Program, Research Methodology"
TCH1031,Charita Tripathi,tch1031@university.edu,06564823662,Mechanical Engineering,Assistant Professor,"Engineering Mechanics, Thermodynamics, Machine Design","Engineering Mechanics, Thermodynamics","10:00-16:30, 11:20-18:00, 08:00-14:30",Campus-8,15,M.Sc,Engineering Mechanics,21,True,"Saturday, Friday, Monday, Tuesday, Thursday","Campus-8, Block A",Active,2021-01-09,"A32, A33, A34",EMP1031,Grade-1,"Engineering Mechanics, Machine Design",6,"Faculty Development Program, Teaching Methodology"
TCH1032,Nidra Acharya,tch1032@university.edu,04369957773,Mechanical Engineering,Assistant Professor,"Engineering Mechanics, Thermodynamics, Machine Design","Engineering Mechanics, Thermodynamics","08:00-14:30, 11:20-18:00",Campus-8,17,M.Tech,Machine Design,19,True,"Saturday, Wednesday, Friday, Monday, Thursday, Tuesday","Campus-8, Block C",Active,2020-02-01,"A33, A34, A35",EMP1032,Grade-2,"Machine Design, Engineering Mechanics",9,"Faculty Development Program, Digital Pedagogy"
TCH1033,Frado Mander,tch1033@university.edu,9513433200,Mechanical Engineering,Assistant Professor,"Engineering Mechanics, Thermodynamics, Machine Design","Engineering Mechanics, Thermodynamics","10:00-16:30, 08:00-14:30, 11:20-18:00",Campus-8,20,Ph.D,Engineering Mechanics,23,True,"Saturday, Friday, Monday, Wednesday, Thursday, Tuesday","Campus-8, Block E",Active,2017-09-08,"A34, A35, A36",EMP1033,Grade-7,"Machine Design, Thermodynamics",2,"Faculty Development Program, Digital Pedagogy"
TCH1034,Elijah Shah,tch1034@university.edu,09367632016,Electrical Engineering,Assistant Professor,"Basic Electrical Engineering, Circuit Analysis, Power Systems","Basic Electrical Engineering, Circuit Analysis","08:00-14:30, 10:00-16:30, 11:20-18:00",Campus-3,5,B.Tech + M.Tech,Circuit Analysis,23,True,"Saturday, Tuesday, Thursday, Monday, Friday, Wednesday","Campus-3, Block D",Active,2017-06-15,"A35, A36, A01",EMP1034,Grade-7,"Power Systems, Circuit Analysis",10,"Faculty Development Program, Teaching Methodology"
TCH1035,Chandresh Krish,tch1035@university.edu,+917278895798,Electrical Engineering,Assistant Professor,"Basic Electrical Engineering, Circuit Analysis, Power Systems","Basic Electrical Engineering, Circuit Analysis","10:00-16:30, 11:20-18:00",Campus-3,9,B.Tech + M.Tech,Power Systems,22,True,"Wednesday, Monday, Thursday, Tuesday, Friday, Saturday","Campus-3, Block B",Active,2019-04-29,"A36, A01, A02",EMP1035,Grade-6,"Circuit Analysis, Power Systems",8,"Faculty Development Program, Digital Pedagogy"
TCH1036,Nathan Soman,tch1036@university.edu,04348734714,Electrical Engineering,Assistant Professor,"Basic Electrical Engineering, Circuit Analysis, Power Systems","Basic Electrical Engineering, Circuit Analysis","11:20-18:00, 08:00-14:30, 10:00-16:30",Campus-3,4,Ph.D,Power Systems,21,True,"Friday, Tuesday, Thursday, Wednesday, Saturday, Monday","Campus-3, Block A",Active,2017-08-05,"A01, A02, A03",EMP1036,Grade-2,"Circuit Analysis, Basic Electrical Engineering",12,"Faculty Development Program, Digital Pedagogy"
TCH1037,Ekaja Zachariah,tch1037@university.edu,+912236231665,Electrical Engineering,Assistant Professor,"Basic Electrical Engineering, Circuit Analysis, Power Systems","Basic Electrical Engineering, Circuit Analysis","10:00-16:30, 11:20-18:00",Campus-3,17,M.Sc,Circuit Analysis,23,True,"Wednesday, Thursday, Saturday, Tuesday, Friday, Monday","Campus-3, Block A",Active,2020-05-14,"A02, A03, A04",EMP1037,Grade-4,"Circuit Analysis, Basic Electrical Engineering",5,"Faculty Development Program, Teaching Methodology"
TCH1038,David Jhaveri,tch1038@university.edu,06909670546,Electrical Engineering,Assistant Professor,"Basic Electrical Engineering, Circuit Analysis, Power Systems","Basic Electrical Engineering, Circuit Analysis","11:20-18:00, 10:00-16:30",Campus-3,10,M.Sc,Basic Electrical Engineering,24,True,"Wednesday, Tuesday, Saturday, Monday, Friday","Campus-3, Block A",Active,2023-03-02,"A03, A04, A05",EMP1038,Grade-3,"Circuit Analysis, Basic Electrical Engineering",1,"Faculty Development Program, Digital Pedagogy"
TCH1039,Thomas Sura,tch1039@university.edu,+914670656272,Electrical Engineering,Assistant Professor,"Basic Electrical Engineering, Circuit Analysis, Power Systems","Basic Electrical Engineering, Circuit Analysis","11:20-18:00, 08:00-14:30, 10:00-16:30",Campus-3,5,M.Tech,Power Systems,20,True,"Thursday, Saturday, Wednesday, Monday, Friday, Tuesday","Campus-3, Block D",Active,2024-04-23,"A04, A05, A06",EMP1039,Grade-2,"Basic Electrical Engineering, Circuit Analysis",15,"Faculty Development Program, Teaching Methodology"
TCH1040,Meera Bala,tch1040@university.edu,+916272046537,Electrical Engineering,Assistant Professor,"Basic Electrical Engineering, Circuit Analysis, Power Systems","Basic Electrical Engineering, Circuit Analysis","08:00-14:30, 11:20-18:00",Campus-3,20,M.Sc,Basic Electrical Engineering,19,True,"Friday, Thursday, Tuesday, Wednesday, Saturday","Campus-3, Block D",Active,2018-06-05,"A05, A06, A07",EMP1040,Grade-8,"Circuit Analysis, Power Systems",9,"Faculty Development Program, Digital Pedagogy"
TCH1041,Arunima Sama,tch1041@university.edu,01708053100,Electrical Engineering,Assistant Professor,"Basic Electrical Engineering, Circuit Analysis, Power Systems","Basic Electrical Engineering, Circuit Analysis","11:20-18:00, 08:00-14:30",Campus-3,8,Ph.D,Circuit Analysis,23,True,"Tuesday, Saturday, Friday, Wednesday, Monday","Campus-3, Block B",Active,2024-01-12,"A06, A07, A08",EMP1041,Grade-1,"Circuit Analysis, Power Systems",15,"Faculty Development Program, Research Methodology"
TCH1042,Anmol Dua,tch1042@university.edu,+912719374529,Humanities,Assistant Professor,"Humanities Arts and Social Science Elective, Psychology, Sociology","Humanities Arts and Social Science Elective, Psychology","08:00-14:30, 10:00-16:30",Campus-3,24,M.Sc,Sociology,24,False,"Monday, Tuesday, Wednesday, Thursday, Saturday, Friday","Campus-3, Block A",Active,2020-12-13,"A07, A08, A09",EMP1042,Grade-4,"Sociology, Humanities Arts and Social Science Elective",8,"Faculty Development Program, Teaching Methodology"
TCH1043,Nihal Mukhopadhyay,tch1043@university.edu,+919049663193,Humanities,Assistant Professor,"Humanities Arts and Social Science Elective, Psychology, Sociology","Humanities Arts and Social Science Elective, Psychology","08:00-14:30, 11:20-18:00",Campus-3,11,M.Sc,Psychology,18,False,"Saturday, Wednesday, Thursday, Tuesday, Friday, Monday","Campus-3, Block A",Active,2016-05-26,"A08, A09, A10",EMP1043,Grade-1,"Psychology, Sociology",8,"Faculty Development Program, Teaching Methodology"
TCH1044,Jai Barman,tch1044@university.edu,08651850671,Humanities,Assistant Professor,"Humanities Arts and Social Science Elective, Psychology, Sociology","Humanities Arts and Social Science Elective, Psychology","08:00-14:30, 11:20-18:00",Campus-3,23,M.Sc,Sociology,18,False,"Thursday, Friday, Saturday, Tuesday, Monday","Campus-3, Block E",Active,2019-05-21,"A09, A10, A11",EMP1044,Grade-7,"Sociology, Psychology",2,"Faculty Development Program, Research Methodology"
TCH1045,Tripti Dua,tch1045@university.edu,02849877694,Humanities,Assistant Professor,"Humanities Arts and Social Science Elective, Psychology, Sociology","Humanities Arts and Social Science Elective, Psychology","10:00-16:30, 11:20-18:00, 08:00-14:30",Campus-3,23,M.Tech,Humanities Arts and Social Science Elective,20,False,"Saturday, Thursday, Wednesday, Friday, Tuesday, Monday","Campus-3, Block D",Active,2018-05-21,"A10, A11, A12",EMP1045,Grade-2,"Psychology, Sociology",10,"Faculty Development Program, Teaching Methodology"
TCH1046,Gabriel Mallick,tch1046@university.edu,03799650752,Mechanical Engineering,Lab Instructor,"Workshop Practice, Manufacturing Processes, Machine Tools","Workshop Practice, Manufacturing Processes","11:20-18:00, 08:00-14:30, 10:00-16:30",Campus-8,15,M.Tech,Workshop Practice,22,True,"Friday, Thursday, Saturday, Monday, Wednesday, Tuesday","Campus-8, Block E",Active,2019-11-15,"A11, A12, A13",EMP1046,Grade-3,"Manufacturing Processes, Machine Tools",15,"Faculty Development Program, Teaching Methodology"
TCH1047,Aarna Oak,tch1047@university.edu,09480831367,Mechanical Engineering,Lab Instructor,"Workshop Practice, Manufacturing Processes, Machine Tools","Workshop Practice, Manufacturing Processes","11:20-18:00, 08:00-14:30",Campus-8,24,Ph.D,Manufacturing Processes,22,True,"Friday, Thursday, Monday, Saturday, Wednesday","Campus-8, Block D",Active,2020-06-24,"A12, A13, A14",EMP1047,Grade-2,"Machine Tools, Workshop Practice",15,"Faculty Development Program, Digital Pedagogy"
TCH1048,Vamakshi Swaminathan,tch1048@university.edu,00143634957,Mechanical Engineering,Lab Instructor,"Workshop Practice, Manufacturing Processes, Machine Tools","Workshop Practice, Manufacturing Processes","11:20-18:00, 10:00-16:30, 08:00-14:30",Campus-8,17,B.Tech + M.Tech,Workshop Practice,21,True,"Thursday, Tuesday, Friday, Monday, Saturday","Campus-8, Block D",Active,2020-06-19,"A13, A14, A15",EMP1048,Grade-6,"Machine Tools, Manufacturing Processes",0,"Faculty Development Program, Research Methodology"
TCH1049,Pavani Narayanan,tch1049@university.edu,07444313518,Mechanical Engineering,Lab Instructor,"Workshop Practice, Manufacturing Processes, Machine Tools","Workshop Practice, Manufacturing Processes","11:20-18:00, 10:00-16:30, 08:00-14:30",Campus-8,16,B.Tech + M.Tech,Manufacturing Processes,20,True,"Thursday, Wednesday, Tuesday, Friday, Monday, Saturday","Campus-8, Block B",Active,2024-01-16,"A14, A15, A16",EMP1049,Grade-7,"Workshop Practice, Manufacturing Processes",15,"Faculty Development Program, Digital Pedagogy"
TCH1050,Rehaan Kalita,tch1050@university.edu,7498941343,Mechanical Engineering,Lab Instructor,"Workshop Practice, Manufacturing Processes, Machine Tools","Workshop Practice, Manufacturing Processes","10:00-16:30, 08:00-14:30, 11:20-18:00",Campus-8,3,Ph.D,Machine Tools,22,True,"Monday, Thursday, Saturday, Wednesday, Tuesday, Friday","Campus-8, Block B",Active,2018-09-25,"A15, A16, A17",EMP1050,Grade-7,"Machine Tools, Workshop Practice",2,"Faculty Development Program, Research Methodology"
TCH1051,Akshay Walla,tch1051@university.edu,+914008427109,Mechanical Engineering,Lab Instructor,"Workshop Practice, Manufacturing Processes, Machine Tools","Workshop Practice, Manufacturing Processes","10:00-16:30, 11:20-18:00, 08:00-14:30",Campus-8,12,B.Tech + M.Tech,Manufacturing Processes,23,True,"Friday, Monday, Saturday, Thursday, Tuesday, Wednesday","Campus-8, Block A",Active,2018-01-16,"A16, A17, A18",EMP1051,Grade-7,"Workshop Practice, Machine Tools",14,"Faculty Development Program, Teaching Methodology"
TCH1052,Ridhi Oak,tch1052@university.edu,+910471167190,Physics,Assistant Professor,"Physics, Applied Physics, Engineering Physics","Physics, Applied Physics","08:00-14:30, 11:20-18:00, 10:00-16:30",Campus-3,3,M.Sc,Applied Physics,20,True,"Tuesday, Saturday, Thursday, Wednesday, Monday, Friday","Campus-3, Block B",Active,2016-11-06,"A17, A18, A19",EMP1052,Grade-2,"Engineering Physics, Applied Physics",7,"Faculty Development Program, Research Methodology"
TCH1053,Frederick Kothari,tch1053@university.edu,+918699938677,Physics,Assistant Professor,"Physics, Applied Physics, Engineering Physics","Physics, Applied Physics","08:00-14:30, 10:00-16:30",Campus-3,22,M.Sc,Applied Physics,20,True,"Thursday, Wednesday, Tuesday, Monday, Saturday","Campus-3, Block C",Active,2018-02-28,"A18, A19, A20",EMP1053,Grade-5,"Engineering Physics, Applied Physics",8,"Faculty Development Program, Research Methodology"
TCH1054,Dalaja Bhasin,tch1054@university.edu,1334123281,Physics,Assistant Professor,"Physics, Applied Physics, Engineering Physics","Physics, Applied Physics","08:00-14:30, 10:00-16:30, 11:20-18:00",Campus-3,5,Ph.D,Applied Physics,22,True,"Friday, Wednesday, Saturday, Monday, Tuesday, Thursday","Campus-3, Block A",Active,2016-11-22,"A19, A20, A21",EMP1054,Grade-1,"Engineering Physics, Applied Physics",9,"Faculty Development Program, Teaching Methodology"
TCH1055,Shravya Singhal,tch1055@university.edu,00344713493,Physics,Assistant Professor,"Physics, Applied Physics, Engineering Physics","Physics, Applied Physics","08:00-14:30, 11:20-18:00, 10:00-16:30",Campus-3,23,Ph.D,Engineering Physics,18,True,"Wednesday, Thursday, Monday, Saturday, Tuesday","Campus-3, Block B",Active,2019-04-24,"A20, A21, A22",EMP1055,Grade-2,"Applied Physics, Engineering Physics",13,"Faculty Development Program, Teaching Methodology"
