student_id,name,email,phone,batch_id,section,department,scheme,primary_campus,time_slot,year,semester,enrollment_date,gender,date_of_birth,address,guardian_name,guardian_phone,status,roll_number,admission_category,hostel_required,transport_required,emergency_contact,blood_group,previous_education,entrance_exam_score,scholarship_eligible,assigned_teacher_id
STU220033,Mitali Srinivas,stu220033@university.edu,6691251778,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2024-10-30,Male,2007-10-03,31/32 Tak Ganj Karimnagar-782911,Kai Sant,0182422535,Active,A01033,EWS,Yes,No,4143842498,B+,Higher Secondary Education,82,Yes,TCH1032
STU220034,Widisha Mann,stu220034@university.edu,4736471027,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2024-11-25,Female,2005-04-10,92/29; Nazareth Bhopal 094396,Maanas Munshi,5562588153,Active,A01034,OBC,No,No,01473210469,A+,Higher Secondary Education,95,No,TCH1085
STU220035,Wridesh Kale,stu220035@university.edu,5004797480,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2025-05-02,Male,2005-01-26,595; Dutta Ganj; Kottayam-747016,Jasmit Rau,00609835841,Active,A01035,SC,Yes,Yes,08784991216,B+,Higher Secondary Education,77,No,TCH1078
STU220036,Falak Nagar,stu220036@university.edu,+916949588879,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2024-10-13,Other,2007-05-20,52/39 Ratti Circle; Ranchi 257872,Garima Choudhary,09409749930,Active,A01036,SC,Yes,No,7289623091,O-,Higher Secondary Education,76,Yes,TCH1012
STU220037,Krisha Murthy,stu220037@university.edu,+917858549733,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2024-10-06,Female,2004-04-11,56; Sachar Street Bulandshahr-028385,Bhavya Johal,7575844198,Active,A01037,General,Yes,No,06524041574,B+,Higher Secondary Education,76,Yes,TCH1057
STU220038,Odika Narayanan,stu220038@university.edu,7120826773,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2025-03-29,Other,2004-03-17,848; Devan Road; Tadepalligudem-308330,Daniel Chakraborty,9380262067,Active,A01038,General,Yes,Yes,+914004991547,B+,Higher Secondary Education,94,Yes,TCH1048
STU220039,Prisha Varma,stu220039@university.edu,01612275304,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2024-11-13,Female,2005-03-02,74/31; Gaba Path; Bardhaman-054932,Forum Mittal,9045301742,Active,A01039,OBC,Yes,No,08414593327,AB-,Higher Secondary Education,62,No,TCH1027
STU220040,David Tiwari,stu220040@university.edu,+919822587139,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2024-12-21,Other,2007-11-18,95/687 Kamdar Circle Kavali-878519,Christopher Setty,+918679087406,Active,A01040,General,No,No,00391065180,B+,Higher Secondary Education,75,Yes,TCH1023
STU220041,Pranav Yogi,stu220041@university.edu,08230047868,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2024-11-11,Male,2003-11-12,H.No. 462 Salvi Street Eluru 661825,Hiral Dubey,03106903311,Active,A01041,OBC,No,No,0790306738,B-,Higher Secondary Education,77,Yes,TCH1090
STU220042,Parth Sane,stu220042@university.edu,7056856624,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2024-11-10,Female,2007-01-05,843; Nagar Patiala-283644,Wridesh Kar,02708668826,Active,A01042,General,No,Yes,+914351751830,B-,Higher Secondary Education,89,No,TCH1040
STU220043,Samarth Ranganathan,stu220043@university.edu,+918546785445,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2024-12-30,Male,2005-06-21,99/013 Kalla; Dhule 403317,Upasna Nagarajan,+915560932048,Active,A01043,General,Yes,No,9642353693,AB-,Higher Secondary Education,77,Yes,TCH1036
STU220044,Falan Bava,stu220044@university.edu,+916231203875,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2024-07-18,Other,2006-04-24,H.No. 77 Ganguly Chowk; Gulbarga-872808,Vinaya Babu,+918860084840,Active,A01044,EWS,No,No,6211823398,A+,Higher Secondary Education,67,No,TCH1023
STU220045,Krishna Soni,stu220045@university.edu,+910217659180,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2024-09-18,Male,2007-11-23,H.No. 61 Ravi Path; Buxar 341016,Anika Batra,+914890250392,Active,A01045,General,No,No,6142939685,AB-,Higher Secondary Education,87,Yes,TCH1050
STU220046,Keya Sankaran,stu220046@university.edu,+919619431142,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2024-11-12,Female,2007-03-11,18/501; Kata Marg; Mau-504773,Lopa Nadig,01104754121,Active,A01046,General,No,Yes,+916788861015,B-,Higher Secondary Education,83,No,TCH1009
STU220047,Charvi Loyal,stu220047@university.edu,02126464715,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2024-09-26,Other,2003-12-19,04 Rama Marg Karaikudi 982622,Rohan Shankar,+912406596575,Active,A01047,SC,Yes,No,09245937526,AB+,Higher Secondary Education,86,No,TCH1052
STU220048,Raksha Manne,stu220048@university.edu,1672434266,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2024-07-23,Other,2008-06-06,79/356 Ramaswamy Road; Raipur 982807,Nandini Warrior,6805891135,Active,A01048,OBC,Yes,No,+919096561014,O+,Higher Secondary Education,71,No,TCH1052
STU220049,Ijaya Muni,stu220049@university.edu,07387571775,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2024-07-20,Female,2002-10-02,56; Tella Chowk Hapur-714611,Arin Oza,1238282586,Active,A01049,SC,Yes,No,03622660937,AB-,Higher Secondary Education,89,No,TCH1057
STU220050,Lipika Ramanathan,stu220050@university.edu,1557924991,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2025-02-26,Other,2004-05-13,H.No. 334 Chaudry Zila; Ambarnath-371478,Dalaja Dada,+915286692966,Active,A01050,ST,Yes,Yes,+917828274225,AB+,Higher Secondary Education,92,No,TCH1012
STU220051,Azaan Kannan,stu220051@university.edu,00438427978,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2024-12-29,Other,2005-12-03,H.No. 07; Hayer Street; Kishanganj-676772,Jeevika Barman,7836134074,Active,A01051,SC,Yes,Yes,01713395962,B+,Higher Secondary Education,61,Yes,TCH1032
STU220052,Daniel Malhotra,stu220052@university.edu,2232536729,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2025-02-12,Other,2006-04-03,095; Mand Circle North Dumdum-494812,Siya Borra,1684577590,Active,A01052,General,No,No,1751863637,B-,Higher Secondary Education,84,No,TCH1052
STU220053,Tanmayi Acharya,stu220053@university.edu,03242415415,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2025-02-24,Male,2006-05-19,H.No. 58 De; Tiruvottiyur 017012,Meghana Mody,3611037129,Active,A01053,General,Yes,No,+918700516271,B-,Higher Secondary Education,71,No,TCH1007
STU220054,Ria Panchal,stu220054@university.edu,3269731121,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2025-01-27,Male,2004-10-15,H.No. 115 Mistry Path Eluru-218909,Divya Dey,+914138999404,Active,A01054,ST,Yes,No,+918983640376,AB-,Higher Secondary Education,88,No,TCH1071
STU220055,Elijah Badal,stu220055@university.edu,1043006848,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2025-04-02,Male,2005-01-10,91; Arora Circle Ratlam 696582,Fitan Yadav,9241418328,Active,A01055,ST,No,No,06914630316,B-,Higher Secondary Education,77,No,TCH1081
STU220056,Jonathan Luthra,stu220056@university.edu,1056481491,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2024-12-24,Female,2005-07-20,90/42 Arora Zila Hyderabad 758842,Xalak Ganesan,02419138000,Active,A01056,ST,Yes,No,+910756220863,B-,Higher Secondary Education,77,No,TCH1041
STU220057,Barkha Mukhopadhyay,stu220057@university.edu,01870534949,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2024-09-22,Male,2004-09-11,54; Pradhan Zila; Ambala 238061,Rohan Korpal,+910603850506,Active,A01057,OBC,Yes,No,4138367024,B+,Higher Secondary Education,73,Yes,TCH1054
STU220058,Warjas Manne,stu220058@university.edu,05655743132,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2025-04-07,Female,2005-12-29,865; Chad Chowk Dibrugarh 619906,Hitesh Gala,07561853747,Active,A01058,EWS,No,No,01124903521,A+,Higher Secondary Education,73,No,TCH1050
STU220059,Logan Dara,stu220059@university.edu,+910323651994,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2025-05-27,Other,2002-12-08,80 Lad Road Ludhiana-788317,Rudra Sawhney,+911510702966,Active,A01059,ST,No,Yes,00662532447,AB-,Higher Secondary Education,79,No,TCH1054
STU220060,Anirudh Raja,stu220060@university.edu,5787598564,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2024-08-30,Female,2004-05-25,99/34; Sabharwal Chowk Ghaziabad-462638,Ayushman Mand,+917859321334,Active,A01060,OBC,No,No,0396522395,O-,Higher Secondary Education,61,No,TCH1044
STU220061,Vanya Acharya,stu220061@university.edu,09325250029,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2025-03-10,Other,2003-05-03,59/929; Tailor Ganj; Akola 010393,Janya Bora,06915452267,Active,A01061,OBC,No,Yes,5289539264,A+,Higher Secondary Education,85,Yes,TCH1011
STU220062,Faras Khanna,stu220062@university.edu,05215704331,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2024-11-01,Male,2007-03-18,096; Bali; Madanapalle 939172,Chanakya Raju,06267658617,Active,A01062,ST,Yes,Yes,3271040541,AB+,Higher Secondary Education,84,No,TCH1028
STU220063,Harrison Narula,stu220063@university.edu,+913688444310,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2024-11-16,Female,2005-10-13,621 Chander Circle Hindupur 062962,Mitesh Bhagat,00614973103,Active,A01063,SC,No,No,+914171467741,O+,Higher Secondary Education,76,Yes,TCH1061
STU220064,Gunbir Chada,stu220064@university.edu,5869380686,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2025-06-14,Other,2006-08-11,H.No. 65; Sehgal Street; Firozabad-743490,Warinder Soni,01608989921,Active,A01064,EWS,Yes,No,02233206163,B-,Higher Secondary Education,64,Yes,TCH1004
STU220065,Mason Divan,stu220065@university.edu,9911914856,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2024-09-30,Male,2006-06-01,H.No. 11 Ranganathan Marg Bally-099861,Baljiwan Gera,06299606530,Active,A01065,General,Yes,Yes,7450544471,B+,Higher Secondary Education,90,Yes,TCH1073
STU220066,Dominic Mukhopadhyay,stu220066@university.edu,8628902330,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2024-09-25,Female,2005-03-23,H.No. 75; Saha Road Maheshtala-367850,Rushil Mahal,07861035797,Active,A01066,SC,No,Yes,+917985524140,A-,Higher Secondary Education,70,No,TCH1014
STU220067,Zayyan Mody,stu220067@university.edu,4665743748,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2025-04-23,Female,2004-11-13,933; Jhaveri Ganj; Alappuzha-072290,Abhimanyu Vaidya,5899441715,Active,A01067,EWS,No,No,05444328309,B-,Higher Secondary Education,64,Yes,TCH1014
STU220068,Onkar Golla,stu220068@university.edu,01724825135,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2024-09-15,Other,2007-09-19,20/744 Ravel Marg; Vadodara-538758,Garima Prabhu,09471709991,Active,A01068,EWS,Yes,Yes,03816846022,AB-,Higher Secondary Education,94,No,TCH1085
STU220069,Shaurya Ganguly,stu220069@university.edu,2712966667,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2024-11-13,Male,2002-09-17,97 Mutti Street Jodhpur-525007,Kashvi Atwal,08300335421,Active,A01069,EWS,No,Yes,08942104478,O+,Higher Secondary Education,91,Yes,TCH1056
STU220070,Jeevika Barad,stu220070@university.edu,04890901001,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2024-11-25,Other,2004-10-07,25/753 Raval Street; Ambattur 230982,Urvi Dua,+910461849926,Active,A01070,ST,Yes,No,+918914117393,B+,Higher Secondary Education,93,No,TCH1079
STU220071,Manthan Chana,stu220071@university.edu,1143744701,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2025-04-19,Female,2007-09-25,H.No. 64; Baral Street; Dhule 530011,Jagvi Munshi,01100225579,Active,A01071,ST,No,No,01552166746,B-,Higher Secondary Education,65,No,TCH1058
STU220072,Vasudha Sura,stu220072@university.edu,+916701450899,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2024-09-15,Female,2008-03-22,21/202 Saha Zila; Jehanabad-296590,Zilmil Virk,9163756289,Active,A01072,EWS,No,No,+910287721753,A+,Higher Secondary Education,91,No,TCH1024
STU220073,Jagat Tank,stu220073@university.edu,0166088019,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2025-06-13,Male,2006-04-24,H.No. 838 Rau Marg; Vijayawada 797177,Tanmayi Om,00375899757,Active,A01073,SC,No,No,+911305548851,AB+,Higher Secondary Education,77,Yes,TCH1067
STU220074,Chakradhar Dasgupta,stu220074@university.edu,07982708086,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2025-04-29,Male,2005-05-20,26; Kumar Zila Maheshtala 637351,Oscar Dave,+916995866934,Active,A01074,OBC,No,No,05472269848,B-,Higher Secondary Education,90,No,TCH1058
STU220075,Bhavika Sami,stu220075@university.edu,+918106200342,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2025-06-20,Male,2006-08-02,394; Deo Path; Ambala 158799,David Merchant,+918057198386,Active,A01075,SC,Yes,No,+918406665800,B-,Higher Secondary Education,79,No,TCH1061
STU220076,Banjeet Sangha,stu220076@university.edu,08422940572,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2024-07-10,Female,2008-01-22,73/59; Hegde Circle; Durg 212281,Charvi Swaminathan,8515832818,Active,A01076,EWS,No,No,+916886153355,O-,Higher Secondary Education,77,No,TCH1033
STU220077,Ishaan Raju,stu220077@university.edu,08408588770,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2024-10-12,Male,2006-05-25,987 Andra Circle; Sri Ganganagar 399305,Yoshita Butala,+912880133613,Active,A01077,OBC,No,Yes,6120750110,B+,Higher Secondary Education,72,Yes,TCH1062
STU220078,Chakradev Bora,stu220078@university.edu,08144914766,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2025-04-22,Other,2002-09-02,19/34 Rama Marg Machilipatnam-506180,Thomas Deshpande,6842450882,Active,A01078,EWS,No,Yes,+910099688143,B-,Higher Secondary Education,78,Yes,TCH1047
STU220079,Elijah Mannan,stu220079@university.edu,1413975523,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2024-08-01,Female,2006-03-15,82; Gour Street; Tadepalligudem 312908,Eesha Sunder,05949299556,Active,A01079,General,Yes,No,+910533645257,A+,Higher Secondary Education,63,No,TCH1090
STU220080,Anirudh Tripathi,stu220080@university.edu,0996930848,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2025-05-19,Other,2005-09-21,H.No. 47 Chopra Circle; Medininagar-428341,Jasmit Ramanathan,+919427881658,Active,A01080,ST,Yes,Yes,+913928272299,AB+,Higher Secondary Education,90,No,TCH1057
STU220081,Suhani Batra,stu220081@university.edu,+915184498926,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2025-02-20,Male,2004-09-04,H.No. 03 Kata Chowk Bilaspur-303856,Zansi Krishnamurthy,03865577908,Active,A01081,General,No,No,+917231843222,A-,Higher Secondary Education,64,No,TCH1063
STU220082,Krish Vala,stu220082@university.edu,+919202428699,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,1,2025-02-14,Other,2007-10-04,36/517; Srinivas Chowk; Gudivada 603029,Frederick Kalita,09772369292,Active,A01082,General,Yes,Yes,8425799136,AB+,Higher Secondary Education,65,Yes,TCH1016
STU220083,Girik Subramaniam,stu220083@university.edu,2980686508,A01,A01,Computer Science Engineering,A,Campus-15B,08:00-14:30,1,2,2024-11-29,Other,2008-02-13,H.No. 038; Saini Circle; Medininagar-279908,Lakshmi Palla,9162473149,Active,A01083,EWS,Yes,No,6430098180,O-,Higher Secondary Education,88,No,TCH1076
