slot_index,batch_id,section,day,time_start,time_end,subject_code,subject_name,teacher_id,teacher_name,room_id,room_name,campus,activity_type,department,scheme
28,A01,A01,Thursday,09:00,10:00,COMM_LAB_A,Communication Lab,TCH1047,Aarna Oak,R1009,Theory Classroom C-15,Campus-15B,Lecture,Computer Science Engineering,A
29,A01,A01,Thursday,10:00,11:00,HASS_A,Humanities Arts and Social Science Elective,TCH1074,Aarini Subramaniam,R1016,Theory Classroom C-22,Campus-15B,Lecture,Computer Science Engineering,A
30,A01,A01,Thursday,11:20,12:20,COMM_LAB_A,Communication Lab,TCH1084,Sudiksha Tiwari,R1007,Theory Classroom C-13,Campus-15B,Lecture,Computer Science Engineering,A
31,A01,A01,Thursday,13:00,14:00,ENG_A,English,TCH1054,Dalaja Bhasin,R1038,Theory Classroom CLA13,Campus-15B,Lecture,Computer Science Engineering,A
32,A01,A01,Thursday,14:00,15:00,HASS_A,Humanities Arts and Social Science Elective,TCH1028,Ryan Sharma,R1060,Mechanical Lab,Campus-15B,Lecture,Computer Science Engineering,A
33,A01,A01,Thursday,15:00,16:00,B.ETC_A,Basic Electronics,TCH1006,Ekta Bhalla,R1036,Theory Classroom CLA11,Campus-15B,Lecture,Computer Science Engineering,A
34,A01,A01,Thursday,16:00,17:00,CHEM_LAB_A,Chemistry Lab,TCH1044,Jai Barman,R1007,Theory Classroom C-13,Campus-15B,Lecture,Computer Science Engineering,A
35,A01,A01,Thursday,17:00,18:00,BETC_LAB_A,Basic Electronics Lab,TCH1063,Leela Halder,R1049,Theory Classroom 201,Campus-15B,Lecture,Computer Science Engineering,A
36,A01,A01,Friday,08:00,09:00,ENGG_LAB_A,Engineering Lab,TCH1034,Elijah Shah,R1040,Theory Classroom CLA15,Campus-15B,Lecture,Computer Science Engineering,A
37,A01,A01,Friday,09:00,10:00,BETC_LAB_A,Basic Electronics Lab,TCH1073,Janya Deep,R1041,Theory Classroom CLA16,Campus-15B,Lecture,Computer Science Engineering,A
38,A01,A01,Friday,10:00,11:00,SY_A,Sports and Yoga,TCH1002,Rushil Saini,R1002,Theory Classroom C-8,Campus-15B,Lecture,Computer Science Engineering,A
39,A01,A01,Friday,11:20,12:20,ENG_A,English,TCH1047,Aarna Oak,R1042,Theory Classroom CLA17,Campus-15B,Lecture,Computer Science Engineering,A
40,A01,A01,Friday,13:00,14:00,HASS_A,Humanities Arts and Social Science Elective,TCH1045,Tripti Dua,R1039,Theory Classroom CLA14,Campus-15B,Lecture,Computer Science Engineering,A
41,A01,A01,Friday,14:00,15:00,CHEM_LAB_A,Chemistry Lab,TCH1081,Wazir Naik,R1026,Theory Classroom CLA1,Campus-15B,Lecture,Computer Science Engineering,A
42,A01,A01,Friday,15:00,16:00,T&NM_A,Transform and Numerical Methods,TCH1004,Janaki Handa,R1044,Theory Classroom 101,Campus-15B,Lecture,Computer Science Engineering,A
43,A01,A01,Friday,16:00,17:00,SY_A,Sports and Yoga,TCH1041,Arunima Sama,R1015,Theory Classroom C-21,Campus-15B,Lecture,Computer Science Engineering,A
44,A01,A01,Friday,17:00,18:00,T&NM_A,Transform and Numerical Methods,TCH1094,Bimala Contractor,R1012,Theory Classroom C-18,Campus-15B,Lecture,Computer Science Engineering,A
45,A01,A01,Saturday,08:00,09:00,BETC_LAB_A,Basic Electronics Lab,TCH1016,Ikbal Kothari,R1022,Theory Classroom C-28,Campus-15B,Lecture,Computer Science Engineering,A
46,A01,A01,Saturday,09:00,10:00,ENG_A,English,TCH1013,Jai Kota,R1018,Theory Classroom C-24,Campus-15B,Lecture,Computer Science Engineering,A
47,A01,A01,Saturday,10:00,11:00,T&NM_A,Transform and Numerical Methods,TCH1006,Ekta Bhalla,R1021,Theory Classroom C-27,Campus-15B,Lecture,Computer Science Engineering,A
48,A01,A01,Saturday,11:20,12:20,B.ETC_A,Basic Electronics,TCH1083,Sachi Borah,R1016,Theory Classroom C-22,Campus-15B,Lecture,Computer Science Engineering,A
49,A01,A01,Saturday,13:00,14:00,COMM_LAB_A,Communication Lab,TCH1029,Garima Bala,R1019,Theory Classroom C-25,Campus-15B,Lecture,Computer Science Engineering,A
50,A01,A01,Saturday,14:00,15:00,HASS_A,Humanities Arts and Social Science Elective,TCH1037,Ekaja Zachariah,R1043,Theory Classroom LT-1,Campus-15B,Lecture,Computer Science Engineering,A
51,A01,A01,Saturday,15:00,16:00,CHEM_LAB_A,Chemistry Lab,TCH1094,Bimala Contractor,R1022,Theory Classroom C-28,Campus-15B,Lecture,Computer Science Engineering,A
52,A01,A01,Saturday,16:00,17:00,BETC_LAB_A,Basic Electronics Lab,TCH1032,Nidra Acharya,R1024,Theory Classroom E105,Campus-15B,Lecture,Computer Science Engineering,A
53,A01,A01,Saturday,17:00,18:00,SY_A,Sports and Yoga,TCH1011,Anirudh Choudhury,R1013,Theory Classroom C-19,Campus-15B,Lecture,Computer Science Engineering,A
0,A02,A02,Monday,08:00,09:00,BEE_LAB_A,Basic Electrical Engineering Lab,TCH1072,Watika Mangat,R1045,Theory Classroom B-101,Campus-8,Lecture,Electronics Engineering,A
1,A02,A02,Monday,09:00,10:00,COMM_LAB_A,Communication Lab,TCH1032,Nidra Acharya,R1052,Theory Classroom 204,Campus-8,Lecture,Electronics Engineering,A
2,A02,A02,Monday,10:00,11:00,HASS_A,Humanities Arts and Social Science Elective,TCH1007,Luke Lanka,R1001,Theory Classroom C-7,Campus-8,Lecture,Electronics Engineering,A
3,A02,A02,Monday,11:20,12:20,ENGG_LAB_A,Engineering Lab,TCH1005,Nicholas Prabhakar,R1009,Theory Classroom C-15,Campus-8,Lecture,Electronics Engineering,A
4,A02,A02,Monday,13:00,14:00,BETC_LAB_A,Basic Electronics Lab,TCH1047,Aarna Oak,R1018,Theory Classroom C-24,Campus-8,Lecture,Electronics Engineering,A
5,A02,A02,Monday,14:00,15:00,BEE_A,Basic Electrical Engineering,TCH1061,Amara Deep,R1042,Theory Classroom CLA17,Campus-8,Lecture,Electronics Engineering,A
6,A02,A02,Monday,15:00,16:00,CHEM_A,Chemistry,TCH1080,Viraj Narasimhan,R1007,Theory Classroom C-13,Campus-8,Lecture,Electronics Engineering,A
7,A02,A02,Monday,16:00,17:00,CHEM_LAB_A,Chemistry Lab,TCH1078,Teerth Sawhney,R1030,Theory Classroom CLA5,Campus-8,Lecture,Electronics Engineering,A
8,A02,A02,Monday,17:00,18:00,BETC_LAB_A,Basic Electronics Lab,TCH1057,Anita Tella,R1011,Theory Classroom C-17,Campus-8,Lecture,Electronics Engineering,A
9,A02,A02,Tuesday,08:00,09:00,HASS_A,Humanities Arts and Social Science Elective,TCH1084,Sudiksha Tiwari,R1025,Theory Classroom E205,Campus-8,Lecture,Electronics Engineering,A
10,A02,A02,Tuesday,09:00,10:00,COMM_LAB_A,Communication Lab,TCH1002,Rushil Saini,R1001,Theory Classroom C-7,Campus-8,Lecture,Electronics Engineering,A
11,A02,A02,Tuesday,10:00,11:00,BEE_A,Basic Electrical Engineering,TCH1045,Tripti Dua,R1028,Theory Classroom CLA3,Campus-8,Lecture,Electronics Engineering,A
12,A02,A02,Tuesday,11:20,12:20,HASS_A,Humanities Arts and Social Science Elective,TCH1063,Leela Halder,R1038,Theory Classroom CLA13,Campus-8,Lecture,Electronics Engineering,A
13,A02,A02,Tuesday,13:00,14:00,ENGG_LAB_A,Engineering Lab,TCH1058,Amruta Baria,R1002,Theory Classroom C-8,Campus-8,Lecture,Electronics Engineering,A
14,A02,A02,Tuesday,14:00,15:00,T&NM_A,Transform and Numerical Methods,TCH1038,David Jhaveri,R1030,Theory Classroom CLA5,Campus-8,Lecture,Electronics Engineering,A
15,A02,A02,Tuesday,15:00,16:00,BEE_LAB_A,Basic Electrical Engineering Lab,TCH1017,Chandresh Zachariah,R1039,Theory Classroom CLA14,Campus-8,Lecture,Electronics Engineering,A
16,A02,A02,Tuesday,16:00,17:00,ENGG_LAB_A,Engineering Lab,TCH1026,Joshua Barman,R1007,Theory Classroom C-13,Campus-8,Lecture,Electronics Engineering,A
17,A02,A02,Tuesday,17:00,18:00,BETC_LAB_A,Basic Electronics Lab,TCH1023,Abhiram Mistry,R1037,Theory Classroom CLA12,Campus-8,Lecture,Electronics Engineering,A
18,A02,A02,Wednesday,08:00,09:00,T&NM_A,Transform and Numerical Methods,TCH1003,Harsh Chanda,R1012,Theory Classroom C-18,Campus-8,Lecture,Electronics Engineering,A
19,A02,A02,Wednesday,09:00,10:00,BEE_LAB_A,Basic Electrical Engineering Lab,TCH1040,Meera Bala,R1023,Theory Classroom A11,Campus-8,Lecture,Electronics Engineering,A
20,A02,A02,Wednesday,10:00,11:00,BEE_A,Basic Electrical Engineering,TCH1087,Yashica Kala,R1010,Theory Classroom C-16,Campus-8,Lecture,Electronics Engineering,A
21,A02,A02,Wednesday,11:20,12:20,T&NM_A,Transform and Numerical Methods,TCH1052,Ridhi Oak,R1043,Theory Classroom LT-1,Campus-8,Lecture,Electronics Engineering,A
22,A02,A02,Wednesday,13:00,14:00,CHEM_A,Chemistry,TCH1088,Amara Balakrishnan,R1033,Theory Classroom CLA8,Campus-8,Lecture,Electronics Engineering,A
23,A02,A02,Wednesday,14:00,15:00,CHEM_A,Chemistry,TCH1010,Yashica Cherian,R1009,Theory Classroom C-15,Campus-8,Lecture,Electronics Engineering,A
24,A02,A02,Wednesday,15:00,16:00,HASS_A,Humanities Arts and Social Science Elective,TCH1033,Frado Mander,R1012,Theory Classroom C-18,Campus-8,Lecture,Electronics Engineering,A
25,A02,A02,Wednesday,16:00,17:00,B.ETC_A,Basic Electronics,TCH1039,Thomas Sura,R1028,Theory Classroom CLA3,Campus-8,Lecture,Electronics Engineering,A
26,A02,A02,Wednesday,17:00,18:00,BETC_LAB_A,Basic Electronics Lab,TCH1027,Nicholas Goel,R1060,Mechanical Lab,Campus-8,Lecture,Electronics Engineering,A
27,A02,A02,Thursday,08:00,09:00,BEE_A,Basic Electrical Engineering,TCH1089,Gavin Wali,R1055,Chemistry Lab,Campus-8,Lecture,Electronics Engineering,A
28,A02,A02,Thursday,09:00,10:00,CHEM_A,Chemistry,TCH1016,Ikbal Kothari,R1001,Theory Classroom C-7,Campus-8,Lecture,Electronics Engineering,A
29,A02,A02,Thursday,10:00,11:00,BEE_A,Basic Electrical Engineering,TCH1078,Teerth Sawhney,R1066,Sports Yoga (SY),Campus-8,Lecture,Electronics Engineering,A
30,A02,A02,Thursday,11:20,12:20,B.ETC_A,Basic Electronics,TCH1035,Chandresh Krish,R1015,Theory Classroom C-21,Campus-8,Lecture,Electronics Engineering,A
31,A02,A02,Thursday,13:00,14:00,SY_A,Sports and Yoga,TCH1094,Bimala Contractor,R1054,Physics Lab,Campus-8,Lecture,Electronics Engineering,A
32,A02,A02,Thursday,14:00,15:00,COMM_LAB_A,Communication Lab,TCH1029,Garima Bala,R1036,Theory Classroom CLA11,Campus-8,Lecture,Electronics Engineering,A
33,A02,A02,Thursday,15:00,16:00,BETC_LAB_A,Basic Electronics Lab,TCH1085,Ojasvi Chandran,R1021,Theory Classroom C-27,Campus-8,Lecture,Electronics Engineering,A
34,A02,A02,Thursday,16:00,17:00,ENG_A,English,TCH1048,Vamakshi Swaminathan,R1049,Theory Classroom 201,Campus-8,Lecture,Electronics Engineering,A
35,A02,A02,Thursday,17:00,18:00,CHEM_A,Chemistry,TCH1058,Amruta Baria,R1025,Theory Classroom E205,Campus-8,Lecture,Electronics Engineering,A
36,A02,A02,Friday,08:00,09:00,ENGG_LAB_A,Engineering Lab,TCH1036,Nathan Soman,R1059,Engineering Drawing Lab,Campus-8,Lecture,Electronics Engineering,A
37,A02,A02,Friday,09:00,10:00,ENGG_LAB_A,Engineering Lab,TCH1023,Abhiram Mistry,R1014,Theory Classroom C-20,Campus-8,Lecture,Electronics Engineering,A
38,A02,A02,Friday,10:00,11:00,ENGG_LAB_A,Engineering Lab,TCH1044,Jai Barman,R1059,Engineering Drawing Lab,Campus-8,Lecture,Electronics Engineering,A
39,A02,A02,Friday,11:20,12:20,SY_A,Sports and Yoga,TCH1046,Gabriel Mallick,R1051,Theory Classroom 203,Campus-8,Lecture,Electronics Engineering,A
40,A02,A02,Friday,13:00,14:00,BEE_A,Basic Electrical Engineering,TCH1015,Urvashi Ray,R1045,Theory Classroom B-101,Campus-8,Lecture,Electronics Engineering,A
41,A02,A02,Friday,14:00,15:00,COMM_LAB_A,Communication Lab,TCH1051,Akshay Walla,R1032,Theory Classroom CLA7,Campus-8,Lecture,Electronics Engineering,A
42,A02,A02,Friday,15:00,16:00,CHEM_A,Chemistry,TCH1079,Gavin Kala,R1044,Theory Classroom 101,Campus-8,Lecture,Electronics Engineering,A
43,A02,A02,Friday,16:00,17:00,ENG_A,English,TCH1088,Amara Balakrishnan,R1033,Theory Classroom CLA8,Campus-8,Lecture,Electronics Engineering,A
44,A02,A02,Friday,17:00,18:00,CHEM_A,Chemistry,TCH1011,Anirudh Choudhury,R1044,Theory Classroom 101,Campus-8,Lecture,Electronics Engineering,A
45,A02,A02,Saturday,08:00,09:00,B.ETC_A,Basic Electronics,TCH1029,Garima Bala,R1009,Theory Classroom C-15,Campus-8,Lecture,Electronics Engineering,A
46,A02,A02,Saturday,09:00,10:00,BETC_LAB_A,Basic Electronics Lab,TCH1075,Aishani Yadav,R1019,Theory Classroom C-25,Campus-8,Lecture,Electronics Engineering,A
47,A02,A02,Saturday,10:00,11:00,B.ETC_A,Basic Electronics,TCH1003,Harsh Chanda,R1036,Theory Classroom CLA11,Campus-8,Lecture,Electronics Engineering,A
48,A02,A02,Saturday,11:20,12:20,T&NM_A,Transform and Numerical Methods,TCH1037,Ekaja Zachariah,R1036,Theory Classroom CLA11,Campus-8,Lecture,Electronics Engineering,A
49,A02,A02,Saturday,13:00,14:00,SY_A,Sports and Yoga,TCH1011,Anirudh Choudhury,R1050,Theory Classroom 202,Campus-8,Lecture,Electronics Engineering,A
50,A02,A02,Saturday,14:00,15:00,CHEM_LAB_A,Chemistry Lab,TCH1003,Harsh Chanda,R1005,Theory Classroom C-11,Campus-8,Lecture,Electronics Engineering,A
51,A02,A02,Saturday,15:00,16:00,BEE_LAB_A,Basic Electrical Engineering Lab,TCH1030,Lekha Gupta,R1030,Theory Classroom CLA5,Campus-8,Lecture,Electronics Engineering,A
52,A02,A02,Saturday,16:00,17:00,BEE_LAB_A,Basic Electrical Engineering Lab,TCH1081,Wazir Naik,R1046,Theory Classroom B-102,Campus-8,Lecture,Electronics Engineering,A
53,A02,A02,Saturday,17:00,18:00,B.ETC_A,Basic Electronics,TCH1007,Luke Lanka,R1012,Theory Classroom C-18,Campus-8,Lecture,Electronics Engineering,A
0,A03,A03,Monday,08:00,09:00,B.ETC_A,Basic Electronics,TCH1061,Amara Deep,R1049,Theory Classroom 201,Campus-15B,Lecture,Computer Science Engineering,A
1,A03,A03,Monday,09:00,10:00,T&NM_A,Transform and Numerical Methods,TCH1010,Yashica Cherian,R1027,Theory Classroom CLA2,Campus-15B,Lecture,Computer Science Engineering,A
2,A03,A03,Monday,10:00,11:00,B.ETC_A,Basic Electronics,TCH1061,Amara Deep,R1008,Theory Classroom C-14,Campus-15B,Lecture,Computer Science Engineering,A
3,A03,A03,Monday,11:20,12:20,HASS_A,Humanities Arts and Social Science Elective,TCH1046,Gabriel Mallick,R1003,Theory Classroom C-9,Campus-15B,Lecture,Computer Science Engineering,A
4,A03,A03,Monday,13:00,14:00,HASS_A,Humanities Arts and Social Science Elective,TCH1014,Veer Bir,R1055,Chemistry Lab,Campus-15B,Lecture,Computer Science Engineering,A
5,A03,A03,Monday,14:00,15:00,CHEM_A,Chemistry,TCH1054,Dalaja Bhasin,R1015,Theory Classroom C-21,Campus-15B,Lecture,Computer Science Engineering,A
6,A03,A03,Monday,15:00,16:00,ENGG_LAB_A,Engineering Lab,TCH1038,David Jhaveri,R1046,Theory Classroom B-102,Campus-15B,Lecture,Computer Science Engineering,A
7,A03,A03,Monday,16:00,17:00,B.ETC_A,Basic Electronics,TCH1002,Rushil Saini,R1025,Theory Classroom E205,Campus-15B,Lecture,Computer Science Engineering,A
8,A03,A03,Monday,17:00,18:00,T&NM_A,Transform and Numerical Methods,TCH1008,Yashodhara Tak,R1012,Theory Classroom C-18,Campus-15B,Lecture,Computer Science Engineering,A
9,A03,A03,Tuesday,08:00,09:00,CHEM_LAB_A,Chemistry Lab,TCH1029,Garima Bala,R1066,Sports Yoga (SY),Campus-15B,Lecture,Computer Science Engineering,A
10,A03,A03,Tuesday,09:00,10:00,T&NM_A,Transform and Numerical Methods,TCH1019,Dakshesh Bedi,R1038,Theory Classroom CLA13,Campus-15B,Lecture,Computer Science Engineering,A
11,A03,A03,Tuesday,10:00,11:00,T&NM_A,Transform and Numerical Methods,TCH1036,Nathan Soman,R1020,Theory Classroom C-26,Campus-15B,Lecture,Computer Science Engineering,A
12,A03,A03,Tuesday,11:20,12:20,HASS_A,Humanities Arts and Social Science Elective,TCH1078,Teerth Sawhney,R1013,Theory Classroom C-19,Campus-15B,Lecture,Computer Science Engineering,A
13,A03,A03,Tuesday,13:00,14:00,SY_A,Sports and Yoga,TCH1079,Gavin Kala,R1029,Theory Classroom CLA4,Campus-15B,Lecture,Computer Science Engineering,A
14,A03,A03,Tuesday,14:00,15:00,ENG_A,English,TCH1051,Akshay Walla,R1043,Theory Classroom LT-1,Campus-15B,Lecture,Computer Science Engineering,A
15,A03,A03,Tuesday,15:00,16:00,COMM_LAB_A,Communication Lab,TCH1051,Akshay Walla,R1055,Chemistry Lab,Campus-15B,Lecture,Computer Science Engineering,A
16,A03,A03,Tuesday,16:00,17:00,HASS_A,Humanities Arts and Social Science Elective,TCH1026,Joshua Barman,R1066,Sports Yoga (SY),Campus-15B,Lecture,Computer Science Engineering,A
17,A03,A03,Tuesday,17:00,18:00,SY_A,Sports and Yoga,TCH1002,Rushil Saini,R1043,Theory Classroom LT-1,Campus-15B,Lecture,Computer Science Engineering,A
18,A03,A03,Wednesday,08:00,09:00,ENGG_LAB_A,Engineering Lab,TCH1052,Ridhi Oak,R1001,Theory Classroom C-7,Campus-15B,Lecture,Computer Science Engineering,A
19,A03,A03,Wednesday,09:00,10:00,ENG_A,English,TCH1023,Abhiram Mistry,R1022,Theory Classroom C-28,Campus-15B,Lecture,Computer Science Engineering,A
20,A03,A03,Wednesday,10:00,11:00,ENGG_LAB_A,Engineering Lab,TCH1058,Amruta Baria,R1060,Mechanical Lab,Campus-15B,Lecture,Computer Science Engineering,A
21,A03,A03,Wednesday,11:20,12:20,HASS_A,Humanities Arts and Social Science Elective,TCH1026,Joshua Barman,R1045,Theory Classroom B-101,Campus-15B,Lecture,Computer Science Engineering,A
22,A03,A03,Wednesday,13:00,14:00,CHEM_LAB_A,Chemistry Lab,TCH1094,Bimala Contractor,R1034,Theory Classroom CLA9,Campus-15B,Lecture,Computer Science Engineering,A
23,A03,A03,Wednesday,14:00,15:00,CHEM_A,Chemistry,TCH1014,Veer Bir,R1038,Theory Classroom CLA13,Campus-15B,Lecture,Computer Science Engineering,A
24,A03,A03,Wednesday,15:00,16:00,B.ETC_A,Basic Electronics,TCH1005,Nicholas Prabhakar,R1008,Theory Classroom C-14,Campus-15B,Lecture,Computer Science Engineering,A
25,A03,A03,Wednesday,16:00,17:00,T&NM_A,Transform and Numerical Methods,TCH1037,Ekaja Zachariah,R1035,Theory Classroom CLA10,Campus-15B,Lecture,Computer Science Engineering,A
26,A03,A03,Wednesday,17:00,18:00,T&NM_A,Transform and Numerical Methods,TCH1037,Ekaja Zachariah,R1028,Theory Classroom CLA3,Campus-15B,Lecture,Computer Science Engineering,A
27,A03,A03,Thursday,08:00,09:00,HASS_A,Humanities Arts and Social Science Elective,TCH1052,Ridhi Oak,R1060,Mechanical Lab,Campus-15B,Lecture,Computer Science Engineering,A
28,A03,A03,Thursday,09:00,10:00,COMM_LAB_A,Communication Lab,TCH1087,Yashica Kala,R1041,Theory Classroom CLA16,Campus-15B,Lecture,Computer Science Engineering,A
29,A03,A03,Thursday,10:00,11:00,HASS_A,Humanities Arts and Social Science Elective,TCH1087,Yashica Kala,R1060,Mechanical Lab,Campus-15B,Lecture,Computer Science Engineering,A
30,A03,A03,Thursday,11:20,12:20,CHEM_A,Chemistry,TCH1091,Hemani Sani,R1006,Theory Classroom C-12,Campus-15B,Lecture,Computer Science Engineering,A
31,A03,A03,Thursday,13:00,14:00,SY_A,Sports and Yoga,TCH1019,Dakshesh Bedi,R1032,Theory Classroom CLA7,Campus-15B,Lecture,Computer Science Engineering,A
32,A03,A03,Thursday,14:00,15:00,T&NM_A,Transform and Numerical Methods,TCH1029,Garima Bala,R1051,Theory Classroom 203,Campus-15B,Lecture,Computer Science Engineering,A
33,A03,A03,Thursday,15:00,16:00,CHEM_A,Chemistry,TCH1051,Akshay Walla,R1050,Theory Classroom 202,Campus-15B,Lecture,Computer Science Engineering,A
34,A03,A03,Thursday,16:00,17:00,CHEM_LAB_A,Chemistry Lab,TCH1037,Ekaja Zachariah,R1012,Theory Classroom C-18,Campus-15B,Lecture,Computer Science Engineering,A
35,A03,A03,Thursday,17:00,18:00,BETC_LAB_A,Basic Electronics Lab,TCH1045,Tripti Dua,R1016,Theory Classroom C-22,Campus-15B,Lecture,Computer Science Engineering,A
36,A03,A03,Friday,08:00,09:00,SY_A,Sports and Yoga,TCH1032,Nidra Acharya,R1042,Theory Classroom CLA17,Campus-15B,Lecture,Computer Science Engineering,A
37,A03,A03,Friday,09:00,10:00,ENG_A,English,TCH1067,Lajita Nadig,R1038,Theory Classroom CLA13,Campus-15B,Lecture,Computer Science Engineering,A
38,A03,A03,Friday,10:00,11:00,BETC_LAB_A,Basic Electronics Lab,TCH1042,Anmol Dua,R1021,Theory Classroom C-27,Campus-15B,Lecture,Computer Science Engineering,A
39,A03,A03,Friday,11:20,12:20,BETC_LAB_A,Basic Electronics Lab,TCH1041,Arunima Sama,R1056,Electronics Lab,Campus-15B,Lecture,Computer Science Engineering,A
40,A03,A03,Friday,13:00,14:00,ENG_A,English,TCH1058,Amruta Baria,R1063,Materials Lab,Campus-15B,Lecture,Computer Science Engineering,A
41,A03,A03,Friday,14:00,15:00,B.ETC_A,Basic Electronics,TCH1030,Lekha Gupta,R1045,Theory Classroom B-101,Campus-15B,Lecture,Computer Science Engineering,A
42,A03,A03,Friday,15:00,16:00,BETC_LAB_A,Basic Electronics Lab,TCH1060,Netra Varkey,R1058,Computer Lab-2,Campus-15B,Lecture,Computer Science Engineering,A
43,A03,A03,Friday,16:00,17:00,B.ETC_A,Basic Electronics,TCH1081,Wazir Naik,R1058,Computer Lab-2,Campus-15B,Lecture,Computer Science Engineering,A
44,A03,A03,Friday,17:00,18:00,ENGG_LAB_A,Engineering Lab,TCH1054,Dalaja Bhasin,R1057,Computer Lab-1,Campus-15B,Lecture,Computer Science Engineering,A
45,A03,A03,Saturday,08:00,09:00,COMM_LAB_A,Communication Lab,TCH1018,Alka Sha,R1042,Theory Classroom CLA17,Campus-15B,Lecture,Computer Science Engineering,A
46,A03,A03,Saturday,09:00,10:00,ENGG_LAB_A,Engineering Lab,TCH1028,Ryan Sharma,R1031,Theory Classroom CLA6,Campus-15B,Lecture,Computer Science Engineering,A
47,A03,A03,Saturday,10:00,11:00,ENGG_LAB_A,Engineering Lab,TCH1042,Anmol Dua,R1053,Theory Classroom 205,Campus-15B,Lecture,Computer Science Engineering,A
48,A03,A03,Saturday,11:20,12:20,CHEM_A,Chemistry,TCH1031,Charita Tripathi,R1028,Theory Classroom CLA3,Campus-15B,Lecture,Computer Science Engineering,A
49,A03,A03,Saturday,13:00,14:00,BETC_LAB_A,Basic Electronics Lab,TCH1026,Joshua Barman,R1012,Theory Classroom C-18,Campus-15B,Lecture,Computer Science Engineering,A
50,A03,A03,Saturday,14:00,15:00,SY_A,Sports and Yoga,TCH1013,Jai Kota,R1034,Theory Classroom CLA9,Campus-15B,Lecture,Computer Science Engineering,A
51,A03,A03,Saturday,15:00,16:00,CHEM_LAB_A,Chemistry Lab,TCH1005,Nicholas Prabhakar,R1040,Theory Classroom CLA15,Campus-15B,Lecture,Computer Science Engineering,A
52,A03,A03,Saturday,16:00,17:00,BETC_LAB_A,Basic Electronics Lab,TCH1081,Wazir Naik,R1017,Theory Classroom C-23,Campus-15B,Lecture,Computer Science Engineering,A
53,A03,A03,Saturday,17:00,18:00,COMM_LAB_A,Communication Lab,TCH1002,Rushil Saini,R1033,Theory Classroom CLA8,Campus-15B,Lecture,Computer Science Engineering,A
0,A04,A04,Monday,08:00,09:00,COMM_LAB_A,Communication Lab,TCH1081,Wazir Naik,R1023,Theory Classroom A11,Campus-3,Lecture,Electrical Engineering,A
1,A04,A04,Monday,09:00,10:00,SY_A,Sports and Yoga,TCH1049,Pavani Narayanan,R1055,Chemistry Lab,Campus-3,Lecture,Electrical Engineering,A
